Make,Model,Used/New,FuelType,ExteriorColor,DealType,InteriorColor,Mileage,MinMPG,MaxMPG,Price
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Crystal White Pearl,Good,Black,61053,27,33,"$24,921"
BMW,435 Gran Coupe i xDrive,Used,Gasoline,White,Good,Coral Red / Black,65219,20,30,"$30,995"
BMW,435 Gran Coupe i xDrive,Used,Gasoline,Gray,Fair,Black,63055,20,30,"$30,995"
Honda,Odyssey EX-L,Used,Gasoline,Modern Steel Metallic,Good,Gray,64571,19,28,"$38,347"
Honda,Odyssey EX-L,Used,Gasoline Fuel,Gray,Great,Beige,56000,19,28,"$28,999"
Mercedes-Benz,GLC 300 Base,Used,Gasoline,Black,Good,Black,34768,22,29,"$43,451"
Audi,Q5 2.0T Premium,Used,Gasoline,Florett Silver Metallic,Good,Black,26012,22,27,"$37,300"
BMW,428 i,Used,Gasoline,Glacier Silver Metallic,Fair,Black,48531,23,34,"$27,741"
Volvo,XC60 T5 Momentum,Used,Gasoline,Denim Blue,Good,–,10969,20,27,"$40,782"
Honda,Odyssey EX-L,Used,Gasoline,Crystal Black Pearl,Good,Mocha,32201,19,28,"$38,900"
Lincoln,MKZ Standard,Used,Gasoline,Magnetic Gray Metallic,Fair,Ebony,34686,20,31,"$30,691"
Subaru,Ascent Touring 7-Passenger,Used,Gasoline,Crystal White Pearl,Great,Java Brown,47226,20,26,"$31,754"
Land,Rover Range Rover Evoque SE Premium,Used,Gasoline Fuel,Gray,Great,Beige,39855,21,29,"$34,555"
Acura,MDX A-Spec,Acura Certified,Gasoline,Performance Red Pearl,Fair,Ebony,12531,19,25,"$58,995"
Honda,Pilot EX-L,Used,Gasoline,Silver Metallic,Great,Gray,15118,20,27,"$41,535"
Chevrolet,Impala Premier 2LZ,Used,Gasoline,Black,Fair,–,49372,19,28,"$26,998"
INFINITI,G37 x,Used,Gasoline Fuel,Gray,,Black,66560,18,25,"$17,300"
Honda,Civic EX,Used,Gasoline,Modern Steel Metallic,Good,Black / Gray,35257,31,40,"$22,004"
Tesla,Model S 75,Used,Electric Fuel System,Silver,Good,White,84000,0,0,"$47,000"
Honda,Pilot Special Edition,Honda Certified,Gasoline,Steel Sapphire Metallic,Good,Gray,10563,19,26,"$43,296"
Jeep,Grand Cherokee SRT,Used,Gasoline,Redline 2 Coat Pearl,Fair,Sepia / Black,49870,13,19,"$52,884"
Ford,Explorer Limited,Used,Gasoline,White,Great,Beige,117401,17,25,"$12,290"
BMW,M240 i,Used,Gasoline,Alpine White,Great,Oyster/Black,60733,21,32,"$33,900"
Volvo,XC60 T5 Inscription,Used,Gasoline,Onyx Black Metallic,Fair,Charcoal,36577,22,29,"$41,389"
Honda,Civic EX,Used,Gasoline,Crystal Black Pearl,Good,Black,32333,31,40,"$23,739"
BMW,X1 xDrive28i,Used,Gasoline,Alpine White,Good,Black,39879,23,31,"$32,893"
BMW,X1 xDrive28i,Used,Gasoline,Jet Black,Good,Black,50199,23,31,"$30,693"
Acura,ILX Premium & A-SPEC Packages,Used,Gasoline,White,Great,Red,14940,24,34,"$23,995"
Chrysler,300 S,Used,Gasoline,Gloss Black,Great,Black,19229,19,30,"$30,000"
Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Used,Gasoline Fuel,White,Great,Red,55000,17,23,"$53,000"
BMW,Z4 sDrive30i,Used,Gasoline,Metallic,Good,Ivory White,23504,25,32,"$46,500"
Honda,Civic Sport,Used,Gasoline,White Orchid Pearl,Good,Black,30509,30,36,Not Priced
Land,Rover Range Rover,Used,Gasoline,Santorini Black,Good,Ebony / Ebony,54449,14,19,"$51,000"
Ford,F-150 Lariat,Used,E85 Flex Fuel,Red,Good,Black,110111,14,19,"$18,973"
Mazda,CX-5 Grand Touring,Used,Gasoline,Jet Black Mica,Good,Black,66601,25,31,"$25,549"
Kia,Sportage LX,Used,Gasoline,Black Cherry,Good,Black,79336,23,30,"$18,500"
Volkswagen,Tiguan Sport,Used,Gasoline,Reflex Silver Metallic,Fair,Charcoal Black,87957,20,24,"$20,000"
Chrysler,300 S,Used,Gasoline,Granite Crystal Clearcoat Metallic,,Linen,27054,19,30,"$33,558"
Tesla,Model X Performance,Used,Electric Fuel System,White,,White,29918,80,77,"$122,222"
Subaru,Impreza 2.0i Premium,Used,Gasoline,Ice Silver Metallic,,Black,67792,28,36,"$4,750"
Jeep,Cherokee Latitude Plus,Used,Gasoline,Diamond Black,Great,Black,21870,21,29,"$27,500"
Jeep,Cherokee Latitude Plus,Used,Gasoline,Granite Crystal Metallic Clearcoat,Great,Black,74832,22,31,"$21,795"
BMW,320 i xDrive,Used,Gasoline,Black Sapphire,Fair,Charcoal,55001,23,34,"$25,950"
Porsche,Cayenne Base,Used,Gasoline,Black,Good,Black,37979,19,24,"$44,998"
Nissan,Rogue SV,Used,Gasoline,Pearl White,Good,Charcoal,60122,25,32,"$19,949"
Mercedes-Benz,E-Class E 350 4MATIC,Used,Gasoline,Black,,Black,92378,21,30,"$14,500"
BMW,X5 xDrive35i Premium,Used,Gasoline,Black,,Brown,75012,16,23,"$12,499"
Hyundai,Santa Fe SEL 2.4,Used,Gasoline,Portofino Gray,Good,Black,42185,21,27,"$30,187"
Hyundai,Santa Fe SEL 2.4,Used,Gasoline,Machine Gray,Great,Black / Beige,27088,21,27,"$28,959"
Mercedes-Benz,AMG E 63 S 4MATIC,Mercedes-Benz Certified,Gasoline,Gray Metallic,Fair,Brown,15113,15,23,"$106,999"
Mercedes-Benz,S-Class S 560 4MATIC,Used,Gasoline,Black,Great,Brown,18022,17,27,"$71,458"
Hyundai,Santa Fe SEL 2.4,Used,Gasoline,Symphony Silver,Good,Espresso,26693,21,27,"$30,716"
Hyundai,Elantra SE,Used,Gasoline,Quartz White Pearl,Great,Beige,21368,30,40,"$17,995"
BMW,X3 M40i,Used,Gasoline,Phytonic Blue Metallic,Good,Cognac,11970,21,27,"$49,995"
Volkswagen,Golf R 2.0T w/DCC & Navigation,Used,Gasoline,Indium Gray Metallic,Great,Titan Black,32143,23,30,"$40,500"
Land,Rover Range Rover HSE,Used,Gasoline,Santorini Black,,Ebony,84844,17,23,"$52,874"
Mercedes-Benz,S-Class S 560 4MATIC,Used,Gasoline,Black,Great,White,35652,17,27,"$62,995"
BMW,430 Gran Coupe i xDrive,Used,Gasoline,Gray,Great,Coral Red / Black,39474,23,33,"$26,975"
BMW,430 Gran Coupe i xDrive,Used,Gasoline,Gray,Great,Golden Brown,42899,23,33,"$25,975"
Mercedes-Benz,GLS 450 4MATIC,Used,Gasoline,Polar White,Great,Ginger,33427,16,22,"$56,287"
BMW,430 Gran Coupe i xDrive,Used,Gasoline,Blue,Great,Golden Brown,45266,23,33,"$29,995"
Lexus,LS 460 Base,Used,Gasoline,Black,Fair,–,130602,16,23,"$17,899"
GMC,Yukon Denali,Used,Gasoline,Black,Great,Black,36347,15,21,"$38,999"
Mercedes-Benz,GLB 250 Base,Used,Gasoline,Midnight Black,Fair,Black,11140,23,30,"$42,492"
Toyota,Camry SE,Used,Gasoline,Black,Good,Black,27521,28,39,"$31,998"
Ford,Edge Sport,Ford Certified,Gasoline,White Platinum Metallic Tri-Coat,Good,Ebony,23046,17,24,"$33,998"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Quartz Blue Pearl,Good,Gray,27911,27,33,"$28,998"
Dodge,Charger Scat Pack,Dodge Certified,Gasoline,Frostbite,Good,–,24858,15,24,"$49,995"
Dodge,Charger Scat Pack,Used,Gasoline,White Knuckle Clearcoat,,Caramel / Black,21863,15,24,"$40,600"
Subaru,Crosstrek Premium,Used,Gasoline,Yellow Pearl,,Black,7572,28,33,"$26,000"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Ice Silver Metallic,Good,Black,8832,27,33,"$29,998"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Dark Gray Metallic,Fair,Black,70778,27,33,"$27,998"
Toyota,4Runner Limited,Toyota Certified,Gasoline,Midnight Black Metallic,Good,Redwood,20606,16,19,"$51,931"
Ford,F-150,Used,E85 Flex Fuel,–,Great,–,135228,15,22,"$25,988"
Audi,Q5 2.0T Premium,Used,Gasoline,Manhattan Gray Metallic,Good,Black,36644,22,27,"$35,700"
Audi,Q5 2.0T Premium,Used,Gasoline,Brilliant Black,Good,Black,21349,22,27,"$38,884"
Audi,A5 2.0T Premium,Used,Gasoline,Phantom Black Pearl,Good,Black,116693,21,29,"$14,499"
Lexus,RC F Base,Used,Gasoline,Gray,Good,–,29597,16,25,"$51,950"
Dodge,Challenger R/T,Used,Gasoline,Burgundy,Great,Gray,18752,15,23,"$33,995"
Mazda,CX-5 Grand Touring,Used,Gasoline,Jet Black Mica,Good,Black,57000,24,30,"$18,950"
Honda,Accord EX-L,Used,Gasoline,Black,Fair,Black,92614,21,34,"$21,998"
Chevrolet,Camaro 2SS,Used,Gasoline,Gray,Great,Adrenaline Red,78378,16,25,"$29,995"
Nissan,Rogue S,Used,Gasoline,Caspian Blue,Great,Gray,47061,25,32,"$16,985"
Toyota,Highlander SE,Used,Gasoline,White,Good,Almond,27027,21,27,"$39,368"
Chevrolet,Cruze LS,Used,Gasoline,Silver Ice Metallic,Fair,Jet Black,29865,28,38,"$21,998"
Chevrolet,Traverse Premier,Used,Gasoline,Iridescent Pearl Tricoat,Great,Jet Black,56722,18,27,"$36,525"
Nissan,Murano SV,Used,Gasoline,Deep Blue Pearl,Great,Graphite,41010,20,28,"$27,289"
BMW,540 i xDrive,Used,Gasoline,Dark Graphite Metallic,Good,Black,26042,21,29,"$47,805"
Volkswagen,Atlas 3.6L SEL Premium,Used,Gasoline,Aurora Red Metallic,Good,Titan Black / Quarzit,10640,16,22,"$49,500"
Chevrolet,Tahoe LTZ,Used,Gasoline,White Diamond Tri-Coat,Good,Cocoa / Dune,139597,16,22,"$28,850"
Honda,Civic Sport,Used,Gasoline,White,Great,Black,20164,29,37,"$19,800"
Nissan,Rogue SL,Used,Gasoline,Magnetic Black,Fair,–,53043,25,32,"$26,884"
Honda,Pilot Special Edition,Used,Gasoline,Steel Sapphire Metallic,Good,Gray,22250,19,26,"$43,171"
Hyundai,Tucson SE,Used,Gasoline,Molten Silver,Good,Gray,93960,21,26,"$18,550"
Honda,Pilot Special Edition,Used,Gasoline,–,Good,–,15002,19,26,"$42,950"
Buick,Enclave Essence,Used,Gasoline,Summit White,Great,Shale,26135,18,26,"$34,856"
Buick,Enclave Essence,Used,Gasoline,Ebony Twilight Metallic,Great,Dark Galvanized,17542,18,26,"$34,888"
Jeep,Wrangler Unlimited Sport,Used,Gasoline,Firecracker Red,Good,Black,113580,16,21,"$26,455"
Buick,Enclave Essence,Used,Gasoline,Satin Steel Metallic,Good,Dark Galvanized,29500,18,26,"$36,500"
BMW,X5 M Base,Used,Gasoline,Carbon Black Metallic,Fair,Aragon Brown,33757,14,19,"$70,996"
Genesis,GV80 2.5T,Used,Gasoline,Himalayan Gray,Great,Black,26663,21,25,"$55,841"
Chevrolet,Tahoe Z71,Used,Gasoline,Summit White,Good,Black,24054,16,20,"$70,490"
Genesis,GV80 2.5T,Used,Gasoline,Uyuni White,Good,Black,11049,21,25,"$68,988"
Acura,MDX 3.5L w/Advance Package,Used,Gasoline,Gray,Great,Graystone,63014,19,26,"$24,950"
Toyota,RAV4 Sport,Used,Gasoline,Black,Great,Black,141372,21,28,"$8,500"
Chevrolet,Suburban 1500 LT,Used,Gasoline,Black,Good,Jet Black,79436,15,22,"$33,895"
Ford,F-150 XLT,Used,Gasoline,Ingot Silver Metallic,Good,Black,23349,17,23,"$34,997"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Modern Steel Metallic,Good,Ebony,15150,20,27,"$45,996"
Toyota,Tundra SR5,Used,Gasoline,Midnight Black Metallic,Great,Black,30136,13,17,"$39,989"
Cadillac,Escalade Sport,Used,Gasoline,Black,,Black,28000,14,19,"$107,998"
Chrysler,300 S,Used,Gasoline,Silver Mist Clearcoat,Good,Black,47552,19,30,"$34,000"
Chrysler,300 S,Used,Gasoline,Bright White Clearcoat,Great,Black,26893,19,30,"$28,500"
Honda,Civic LX,Used,Gasoline,Gray,Good,–,42836,30,39,"$20,000"
Mercedes-Benz,SL-Class SL 550,Used,Gasoline,Diamond White Metallic,Fair,Black,45281,17,25,"$39,785"
INFINITI,QX60 Pure,Used,Gasoline,Black Obsidian,Great,Graphite,48522,20,27,"$31,599"
BMW,X5 xDrive40i,BMW Certified,Gasoline,Phytonic Blue Metallic,Fair,Ivory White,17509,20,26,"$58,992"
INFINITI,QX60 Pure,Used,Gasoline,Liquid Platinum,Great,Graphite,49926,20,27,"$29,449"
Kia,Sorento SX,Used,Gasoline,Titanium Silver,,Black,213000,18,24,"$4,995"
Honda,Civic Sport,Used,Gasoline,Lunar Silver Metallic,Good,–,49051,25,36,"$24,995"
Ford,Taurus SES,Used,Gasoline,Green,Great,Tan,83368,20,27,"$4,388"
Lexus,RX 350 Base,Used,Gasoline,Atomic Silver,Great,Black,10913,19,26,"$47,988"
Kia,Sorento LX,Used,Gasoline,Gray,Good,Black,21055,22,29,"$28,933"
Toyota,Tundra SR5,Toyota Certified,Gasoline,Super White,Good,Graphite,36236,14,18,"$39,997"
Lexus,LS 460 Base,Used,Gasoline,Black Metallic,Fair,Beige,97315,16,24,"$19,990"
Chevrolet,Silverado 1500 Custom,Used,Gasoline,Shadow Gray Metallic,Great,Gideon,44844,16,21,"$30,490"
BMW,328 i,Used,Gasoline,White,Great,Brown,48478,23,35,"$15,899"
Porsche,Macan GTS,Porsche Certified,Gasoline,White,Great,Black,7484,17,22,"$84,888"
Land,Rover Range Rover Sport HSE Silver Edition,Used,Gasoline,Eiger Grey,Great,Ebony,14829,19,24,"$86,995"
BMW,320 320i xDrive,Used,Gasoline,Black Sapphire Metallic,Great,Black,31948,23,34,"$22,950"
BMW,540 i,Used,Gasoline Fuel,Green,,Beige,81467,15,23,"$22,900"
Porsche,Cayenne Base,Used,Gasoline,Moonlight Blue Metallic,,BROWN,53065,19,24,"$28,900"
Mazda,Mazda3 AWD w/Preferred Package,Used,Gasoline,Soul Red Crystal Metallic,,Black,15875,25,33,"$16,499"
BMW,320 i xDrive,Used,Gasoline,Black,Fair,Venetian Beige,65946,23,34,"$24,985"
Genesis,G80 3.8,Used,Gasoline,Black,Fair,–,20870,18,24,"$38,000"
Hyundai,Santa Fe SEL 2.4,Used,Gasoline,Twilight Black,Great,Espresso,28466,21,27,"$28,459"
Hyundai,Santa Fe SEL 2.4,Used,Gasoline,Blue,Good,Black,13924,21,27,"$31,991"
Tesla,Model Y Long Range,Used,Electric,Blue,Great,–,9561,127,114,"$65,995"
Mercedes-Benz,S-Class S 560 4MATIC,Mercedes-Benz Certified,Gasoline,BL,Great,Brown,25046,17,27,"$71,242"
Toyota,Highlander Base Plus,Used,Gasoline,Black,Fair,Black,60419,17,22,"$20,700"
Jeep,Grand Cherokee Altitude,Used,Gasoline,Black,Great,Black,25815,18,25,"$33,750"
Acura,MDX 3.5L,Used,Gasoline,Platinum White Pearl,Great,Ebony,12374,19,26,"$39,412"
BMW,M3 Base,Used,Gasoline,Gray,Great,Sakhir Orange,19847,17,26,"$55,863"
Toyota,Tacoma SR,Used,Gasoline,Midnight Black Metallic,Great,Cement,18675,18,22,"$33,888"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Gray,Great,Espresso,12304,19,26,"$39,900"
Tesla,Model Y Long Range,Used,Electric,Pearl White Multi,Good,White / Black,15002,131,117,"$71,277"
Porsche,Boxster S,Used,Gasoline,Black,,Black,23698,20,28,"$57,900"
Mazda,Mazda6 s Grand Touring,Used,Gasoline,Black Cherry Metallic,Good,Black,97978,17,25,"$9,899"
Toyota,4Runner Limited,Used,Gasoline,Black,Good,Black,46525,17,20,"$39,919"
Subaru,Forester,Used,Gasoline,Ice Silver Metallic,Good,Black,30403,26,33,"$26,200"
Cadillac,XT5 Premium Luxury,Cadillac Certified,Gasoline,Stellar Black Metallic,Good,Jet Black,45313,19,26,"$33,682"
Tesla,Model Y Long Range,Used,Electric,White,Good,White / Black,12332,127,114,"$73,992"
BMW,X3 sDrive30i,Used,Gasoline,Phytonic Blue Metallic,Good,Canberra Beige,34565,23,30,"$35,400"
BMW,X3 sDrive30i,Used,Gasoline,Jet Black,Fair,Black,57583,23,30,"$31,995"
Toyota,4Runner Limited,Used,Gasoline,Silver,Fair,Black / Graphite,151989,17,22,"$24,999"
Honda,Civic EX-T,Used,Gasoline,Crystal Black Pearl,Good,–,12123,31,40,"$26,955"
BMW,X5 xDrive40i,Used,Gasoline,White,Fair,Black,14950,20,26,"$54,998"
Toyota,Corolla SE,Used,Gasoline,Blue,Great,Black,10514,31,40,"$18,500"
Toyota,4Runner Limited,Toyota Certified,Gasoline,Black,Great,Black Graphite,39866,17,20,"$42,727"
Ford,Expedition Max Limited,Used,Gasoline,Black,Good,–,59742,17,23,"$49,499"
Honda,Pilot Elite,Used,Gasoline,Crystal Black Pearl,,Black,3756,19,26,"$41,300"
Honda,Pilot Elite,Used,Gasoline,Gray,,Gray,4084,19,26,"$40,000"
Subaru,Forester 2.5i,Used,Gasoline,Burnished Bronze Metallic,,Dark Gray,154866,24,32,"$8,800"
Subaru,Forester Sport,Used,Gasoline,Dark Blue Pearl,,Gray,13925,26,33,"$29,700"
Ford,Edge Titanium,Used,Gasoline,Agate Black,Good,Ebony,60802,21,28,"$34,997"
Subaru,Ascent Touring 7-Passenger,Used,Gasoline,Cinnamon Brown Pearl,Good,Java Brown,12090,20,26,"$42,505"
Chevrolet,Silverado 1500 RST,Used,Gasoline,–,Good,–,26589,19,22,"$47,988"
Lexus,RX 450hL Base,Used,Hybrid,Matador Red Mica,Good,Parchment,11559,29,28,"$56,500"
Subaru,Forester Premium,Used,Gasoline,Crystal Black Silica,,Black,14634,26,33,"$28,400"
Volvo,XC60 T5 Inscription,Used,Gasoline,Onyx Black,Good,Blond,34148,22,29,"$40,968"
Volvo,XC60 T5 Momentum,Volvo Certified,Gasoline,Onyx Black Metallic,Fair,Charcoal,32356,22,29,"$43,968"
Volvo,XC40 T5 R-Design,Used,Gasoline,Crystal White,Good,Charcoal,15038,23,31,"$42,962"
BMW,X5 sDrive40i,Used,Gasoline,Jet Black,Fair,Canberra Beige,31831,21,26,"$55,901"
Mazda,CX-5 Grand Touring,Used,Gasoline,Jet Black Mica,Good,Black,30322,25,31,"$29,895"
Toyota,4Runner Limited,Used,Gasoline,Midnight Black Metallic,Good,Black Graphite,39855,17,20,"$46,991"
BMW,M850 i xDrive,Used,Gasoline,Carbon Black Metallic,Good,Fiona Red,34021,18,25,"$77,480"
Dodge,Challenger SXT,Dodge Certified,Gasoline,Indigo Blue,Good,Black,33296,19,30,"$30,595"
Tesla,Model 3 Performance,Used,Gasoline,Pearl White Multi,Good,White / Black,32600,118,107,"$65,786"
Hyundai,Santa Fe Limited Ultimate,Used,Gasoline,Monaco White,Great,Gray,32770,17,22,"$24,750"
Dodge,Challenger SXT,Used,Gasoline,Smoke Show,Great,Black,20396,19,30,"$32,290"
Ford,F-150 XLT,Used,Gasoline,Silver,Good,Black,19615,18,23,"$42,995"
BMW,330 i xDrive,Used,Gasoline,Jet Black,Fair,Black,39669,25,34,"$39,521"
Honda,CR-V EX,Used,Gasoline,Gunmetal Metallic,Good,Gray,30340,28,34,"$28,693"
Toyota,4Runner Trail Premium,Used,Gasoline,–,Good,–,50116,17,21,"$36,995"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Majestic Black Pearl,Great,Ebony,30260,20,27,"$41,499"
Subaru,Impreza 2.0i,Used,Gasoline,Blue,Great,Ivory,40060,28,38,"$16,823"
Toyota,Highlander Base,Used,Gasoline,Tan,Good,Tan,204440,23,23,"$5,995"
Lexus,RX 300,Used,Gasoline,Blue,Good,Black,77792,18,22,"$9,995"
Honda,CR-V EX-L,Honda Certified,Gasoline,Modern Steel Metallic,Good,Gray,36188,27,33,"$34,499"
Toyota,4Runner SR5,Used,Gasoline,White,Good,Gray,37750,17,21,"$37,998"
Chevrolet,Impala Premier 2LZ,Used,Gasoline,Silver Ice Metallic,Fair,Jet Black,55545,19,28,"$26,256"
BMW,X7 xDrive50i,Used,Gasoline,Mineral White Metallic,Fair,Tartufo,27289,15,21,"$81,749"
Mercedes-Benz,S-Class S 550 4MATIC,Used,Gasoline,Blue,Great,Brown,89247,14,20,"$15,800"
Nissan,Rogue SL,Used,Gasoline,Gun Metallic,Great,Charcoal,75290,25,32,"$21,690"
Volkswagen,Atlas 3.6L SEL Premium,Used,Gasoline,Platinum Gray Metallic,Great,Mauro Brown,17123,16,22,"$47,990"
Acura,TLX FWD,Acura Certified,Gasoline,Majestic Black Pearl,Good,Ebony,37033,23,33,"$31,290"
Toyota,4Runner Limited,Used,Gasoline,Midnight Black Metallic,Good,Redwood,16854,17,20,"$46,079"
Toyota,RAV4 XLE,Used,Gasoline,Burgundy,Good,Black,17590,23,30,"$28,998"
Honda,Accord EX-L 1.5T,Used,Gasoline,Black,Great,Black,75592,30,38,"$20,900"
Mercedes-Benz,GLE 350 Base 4MATIC,Used,Gasoline,Polar White,Good,Black,31179,19,26,"$53,967"
BMW,330 i,Used,Gasoline,Black Sapphire Metallic,Good,Cognac,19377,26,36,"$39,597"
BMW,X3 M40i,Used,Gasoline,Alpine White,Fair,Black,33855,20,27,"$47,997"
Audi,Q3 45 S line Premium,Used,Gasoline,Ibis White,Fair,Okapi Brown,12051,20,28,"$44,561"
Audi,Q3 45 S line Premium,Used,Gasoline,Glacier White Metallic,Good,Okapi Brown,13109,20,28,"$44,591"
Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,Gasoline,Black,Good,Silk Beige / Black,19782,22,27,"$40,565"
BMW,X5 PHEV xDrive45e,Used,Plug-In Electric/Gas,Blue,,Brown,10500,0,0,"$71,000"
Genesis,GV80 2.5T,Used,Gasoline,Lima Red,Great,Black,6914,21,25,"$52,541"
Audi,S5 3.0T Prestige,Used,Gasoline,Gray,Fair,Magma Red,49950,21,30,"$44,850"
Honda,Pilot EX-L,Used,Gasoline,Deep Scarlet Pearl,Good,Beige,36790,19,27,"$36,498"
Mercedes-Benz,GLC 300 Base 4MATIC,Used,Gasoline Fuel,Gray,Great,Black,10662,22,27,"$37,500"
Chevrolet,Spark LS,Used,Gasoline,Gray,Great,Gray,14035,30,38,"$13,989"
Hyundai,Elantra SE,Used,Gasoline,Phantom Black,Good,Black,11326,29,38,"$21,998"
Hyundai,Elantra SE,Used,Gasoline,Phantom Black,Great,Gray,43148,29,38,"$18,997"
Chevrolet,Suburban 1500 LT,Used,Gasoline,Black,Fair,Gray,89990,15,22,"$32,495"
Mercedes-Benz,S-Class S 550 4MATIC,Used,Gasoline,Metallic,Good,Ash / Grey,59725,15,24,"$25,695"
Nissan,Frontier PRO-4X,Used,Gasoline,Glacier White,Good,–,11510,17,23,"$38,700"
Honda,Accord EX-L 1.5T,Used,Gasoline,Modern Steel Metallic,Great,Gray,87091,30,38,"$18,985"
Jeep,Grand Cherokee Limited,Used,Gasoline,Granite Crystal Clearcoat Metallic,Great,Black,32858,18,25,"$35,500"
Mazda,CX-5 Grand Touring,Used,Gasoline,Jet Black Mica,Great,Parchment,23639,25,31,"$27,491"
BMW,128 128i,Used,Gasoline,Black Sapphire Metallic,Good,Black,94876,18,28,"$8,999"
Land,Rover Range Rover,Used,Gasoline,Corris Grey,Fair,Ebony / Ebony,73178,14,19,"$49,989"
Ford,F-150 Lariat,Used,E85 Flex Fuel,Black,Good,Pale Adobe,141281,0,0,"$19,995"
Lexus,LS 430 Base (A6),Used,Gasoline,Crystal White,Fair,Saddle,90908,18,25,"$14,290"
Lexus,RX 350 Base,Used,Gasoline,White,Great,Black,17212,19,26,"$47,455"
Audi,A7 3.0T Prestige,Used,Gasoline,Mythos Black Metallic,Fair,–,21603,20,30,"$47,940"
Mazda,Mazda6 Sport,Used,Gasoline,Jet Black Mica,Good,Parchment,35332,23,31,"$30,916"
Hyundai,Sonata Hybrid SE,Used,Hybrid,Diamond White Pearl,Good,Gray,72278,40,44,"$18,375"
Alfa,Romeo Giulia Ti,Used,Gasoline Fuel,Gray,Great,Black,22855,23,31,"$29,900"
Mercedes-Benz,CLA 250 Base,Mercedes-Benz Certified,Gasoline,Polar White,Good,–,30820,24,37,"$30,495"
Toyota,Corolla LE,Used,Gasoline,Aqua,Great,Gray,54898,28,36,"$13,899"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Charcoal,Great,Ebony,71815,19,27,"$19,900"
Nissan,Rogue SV,Nissan Certified,Gasoline,Magnetic Black,Good,Charcoal,74430,25,32,"$19,998"
Honda,Civic LX,Used,Gasoline,Modern Steel Metallic,Good,Black,29879,0,38,"$23,845"
